,0
comp_netI,0.0017038849027331863
comp_ebit,0.0022179104877949156
comp_cash,0.0019134870325495299
comp_prop,0.0019227568176831001
comp_othe,0.001861253600466971
comp_shor,0.0015867308809727515
comp_reta,0.0018489768794038572
comp_comm,0.0018403218209506157
comp_oper,0.001968654033146534
comp_depr,0.0017826827980051462
comp_capi,0.0018329526414687964
comp_prof,0.001756645673457937
comp_proc,0.001513008042072741
comp_chan,0.002068864560469836
comp_repo,0.0022541758689076084
comp_esti,0.001963621195478346
comp_surp,0.0021003069635224473
ebit_tota,0.0028151950306601553
ebit_cost,0.0025605962555582964
ebit_sell,0.0024372156917687638
ebit_inte,0.002189283617491736
ebit_inco,0.0020240826495929605
ebit_netI,0.0024331813107016506
ebit_ebit,0.0024407692692045737
ebit_cash,0.001955435928258364
