,0
canarito_68,0.0022517762913040933
oper_capi,0.0022513626793302867
tota_oper,0.0022493837166949133
ebit_inco,0.0022493781314674483
canarito_62,0.0022476820487001554
ebit_reta,0.0022474395166237815
canarito_63,0.00224575553533956
oper_shor,0.002245036280296181
chan_shor,0.002244536757816883
canarito_7,0.0022422673924483434
canarito_41,0.0022422524254381714
othe_comm,0.002242200862544117
cash_ebit,0.002240287817889134
gros_othe,0.002238860154435002
othe_tota,0.002237876884434116
canarito_13,0.0022373407306879685
inco_esti,0.0022364971453730665
cashAndCashEquivalentsAtCarryingValue,0.0022362062290688
prof_prop,0.0022354524454234422
chan_comm,0.002235218790812844
cash_cost,0.00223497313869506
canarito_74,0.002233527492109879
canarito_54,0.002232938357254232
canarito_86,0.002232656052608147
ebit_ebit,0.002232157861088097
